Year,Country,Value,Variable
1999,Austria,81.066854,GDP per hour worked
2000,Austria,82.995462,GDP per hour worked
2001,Austria,84.054622,GDP per hour worked
2002,Austria,85.648082,GDP per hour worked
2003,Austria,86.323544,GDP per hour worked
2004,Austria,88.009843,GDP per hour worked
2005,Austria,90.130666,GDP per hour worked
2006,Austria,92.526896,GDP per hour worked
2007,Austria,94.8488,GDP per hour worked
2008,Austria,94.853068,GDP per hour worked
2009,Austria,94.187636,GDP per hour worked
2010,Austria,95.612437,GDP per hour worked
2011,Austria,96.561153,GDP per hour worked
2012,Austria,97.610973,GDP per hour worked
2013,Austria,98.238885,GDP per hour worked
2014,Austria,98.591347,GDP per hour worked
2015,Austria,100.0,GDP per hour worked
2016,Austria,99.874312,GDP per hour worked
2017,Austria,101.103167,GDP per hour worked
2018,Austria,101.575145,GDP per hour worked
2019,Austria,101.427562,GDP per hour worked
2020,Austria,103.701761,GDP per hour worked
2021,Austria,103.137449,GDP per hour worked
2022,Austria,105.001025,GDP per hour worked
1999,Belgium,87.413018,GDP per hour worked
2000,Belgium,88.10764,GDP per hour worked
2001,Belgium,88.309445,GDP per hour worked
2002,Belgium,88.915037,GDP per hour worked
2003,Belgium,89.66458,GDP per hour worked
2004,Belgium,92.561794,GDP per hour worked
2005,Belgium,93.971437,GDP per hour worked
2006,Belgium,94.459137,GDP per hour worked
2007,Belgium,96.205262,GDP per hour worked
2008,Belgium,95.614367,GDP per hour worked
2009,Belgium,94.994876,GDP per hour worked
2010,Belgium,96.437346,GDP per hour worked
2011,Belgium,95.778661,GDP per hour worked
2012,Belgium,96.255207,GDP per hour worked
2013,Belgium,97.085446,GDP per hour worked
2014,Belgium,98.476362,GDP per hour worked
2015,Belgium,100.0,GDP per hour worked
2016,Belgium,100.097921,GDP per hour worked
2017,Belgium,99.90136,GDP per hour worked
2018,Belgium,100.107505,GDP per hour worked
2019,Belgium,100.91419,GDP per hour worked
2020,Belgium,104.218911,GDP per hour worked
2021,Belgium,103.229623,GDP per hour worked
2022,Belgium,101.839995,GDP per hour worked
1999,Bulgaria,58.525388,GDP per hour worked
2000,Bulgaria,63.819963,GDP per hour worked
2001,Bulgaria,66.295349,GDP per hour worked
2002,Bulgaria,70.05283,GDP per hour worked
2003,Bulgaria,72.073582,GDP per hour worked
2004,Bulgaria,73.783435,GDP per hour worked
2005,Bulgaria,77.147492,GDP per hour worked
2006,Bulgaria,79.950856,GDP per hour worked
2007,Bulgaria,82.625744,GDP per hour worked
2008,Bulgaria,83.692916,GDP per hour worked
2009,Bulgaria,84.667213,GDP per hour worked
2010,Bulgaria,89.531554,GDP per hour worked
2011,Bulgaria,93.531266,GDP per hour worked
2012,Bulgaria,96.598767,GDP per hour worked
2013,Bulgaria,96.459257,GDP per hour worked
2014,Bulgaria,97.072424,GDP per hour worked
2015,Bulgaria,100.0,GDP per hour worked
2016,Bulgaria,102.569014,GDP per hour worked
2017,Bulgaria,103.550308,GDP per hour worked
2018,Bulgaria,106.367902,GDP per hour worked
2019,Bulgaria,110.240885,GDP per hour worked
2020,Bulgaria,111.108316,GDP per hour worked
2021,Bulgaria,118.314483,GDP per hour worked
2022,Bulgaria,123.530359,GDP per hour worked
1999,Croatia,72.393157,GDP per hour worked
2000,Croatia,74.736774,GDP per hour worked
2001,Croatia,77.603354,GDP per hour worked
2002,Croatia,81.520002,GDP per hour worked
2003,Croatia,84.044725,GDP per hour worked
2004,Croatia,86.819074,GDP per hour worked
2005,Croatia,89.738429,GDP per hour worked
2006,Croatia,91.379979,GDP per hour worked
2007,Croatia,93.062049,GDP per hour worked
2008,Croatia,92.958938,GDP per hour worked
2009,Croatia,86.95267,GDP per hour worked
2010,Croatia,88.644695,GDP per hour worked
2011,Croatia,92.339836,GDP per hour worked
2012,Croatia,94.347202,GDP per hour worked
2013,Croatia,97.444543,GDP per hour worked
2014,Croatia,95.425044,GDP per hour worked
2015,Croatia,100.0,GDP per hour worked
2016,Croatia,102.874767,GDP per hour worked
2017,Croatia,104.443618,GDP per hour worked
2018,Croatia,105.407024,GDP per hour worked
2019,Croatia,104.212855,GDP per hour worked
2020,Croatia,96.628247,GDP per hour worked
2021,Croatia,108.571454,GDP per hour worked
2022,Croatia,112.702828,GDP per hour worked
1999,Czechia,63.261133,GDP per hour worked
2000,Czechia,66.001504,GDP per hour worked
2001,Czechia,71.069051,GDP per hour worked
2002,Czechia,72.17471,GDP per hour worked
2003,Czechia,75.911047,GDP per hour worked
2004,Czechia,79.07466,GDP per hour worked
2005,Czechia,83.181538,GDP per hour worked
2006,Czechia,88.300324,GDP per hour worked
2007,Czechia,92.043508,GDP per hour worked
2008,Czechia,91.746867,GDP per hour worked
2009,Czechia,89.624169,GDP per hour worked
2010,Czechia,91.719351,GDP per hour worked
2011,Czechia,93.258994,GDP per hour worked
2012,Czechia,93.645328,GDP per hour worked
2013,Czechia,93.944265,GDP per hour worked
2014,Czechia,95.029948,GDP per hour worked
2015,Czechia,100.0,GDP per hour worked
2016,Czechia,99.648324,GDP per hour worked
2017,Czechia,103.061394,GDP per hour worked
2018,Czechia,104.496517,GDP per hour worked
2019,Czechia,107.318049,GDP per hour worked
2020,Czechia,109.900343,GDP per hour worked
2021,Czechia,110.389704,GDP per hour worked
2022,Czechia,108.038487,GDP per hour worked
1999,Denmark,83.683262,GDP per hour worked
2000,Denmark,85.621617,GDP per hour worked
2001,Denmark,85.319344,GDP per hour worked
2002,Denmark,86.020806,GDP per hour worked
2003,Denmark,87.440463,GDP per hour worked
2004,Denmark,90.232667,GDP per hour worked
2005,Denmark,91.467821,GDP per hour worked
2006,Denmark,92.67329,GDP per hour worked
2007,Denmark,92.844194,GDP per hour worked
2008,Denmark,91.462002,GDP per hour worked
2009,Denmark,90.618973,GDP per hour worked
2010,Denmark,94.165396,GDP per hour worked
2011,Denmark,94.491438,GDP per hour worked
2012,Denmark,96.297436,GDP per hour worked
2013,Denmark,97.054659,GDP per hour worked
2014,Denmark,98.592133,GDP per hour worked
2015,Denmark,100.0,GDP per hour worked
2016,Denmark,101.19061,GDP per hour worked
2017,Denmark,103.081941,GDP per hour worked
2018,Denmark,105.350786,GDP per hour worked
2019,Denmark,106.133113,GDP per hour worked
2020,Denmark,106.725461,GDP per hour worked
2021,Denmark,107.513663,GDP per hour worked
2022,Denmark,106.085182,GDP per hour worked
1999,Estonia,,GDP per hour worked
2000,Estonia,60.560492,GDP per hour worked
2001,Estonia,64.075408,GDP per hour worked
2002,Estonia,68.349719,GDP per hour worked
2003,Estonia,71.797424,GDP per hour worked
2004,Estonia,76.674982,GDP per hour worked
2005,Estonia,81.218156,GDP per hour worked
2006,Estonia,85.312512,GDP per hour worked
2007,Estonia,91.72215,GDP per hour worked
2008,Estonia,88.552101,GDP per hour worked
2009,Estonia,90.417521,GDP per hour worked
2010,Estonia,95.231714,GDP per hour worked
2011,Estonia,93.662779,GDP per hour worked
2012,Estonia,96.81262,GDP per hour worked
2013,Estonia,98.046719,GDP per hour worked
2014,Estonia,100.577555,GDP per hour worked
2015,Estonia,100.0,GDP per hour worked
2016,Estonia,102.659699,GDP per hour worked
2017,Estonia,105.677056,GDP per hour worked
2018,Estonia,112.555701,GDP per hour worked
2019,Estonia,116.175364,GDP per hour worked
2020,Estonia,122.892588,GDP per hour worked
2021,Estonia,122.809256,GDP per hour worked
2022,Estonia,115.69194,GDP per hour worked
1999,Euro Area,85.554444,GDP per hour worked
2000,Euro Area,87.600335,GDP per hour worked
2001,Euro Area,88.919177,GDP per hour worked
2002,Euro Area,89.669796,GDP per hour worked
2003,Euro Area,90.11415,GDP per hour worked
2004,Euro Area,91.199236,GDP per hour worked
2005,Euro Area,92.017765,GDP per hour worked
2006,Euro Area,93.330601,GDP per hour worked
2007,Euro Area,94.186698,GDP per hour worked
2008,Euro Area,93.994325,GDP per hour worked
2009,Euro Area,92.976958,GDP per hour worked
2010,Euro Area,95.276783,GDP per hour worked
2011,Euro Area,96.717472,GDP per hour worked
2012,Euro Area,97.290436,GDP per hour worked
2013,Euro Area,98.190857,GDP per hour worked
2014,Euro Area,98.920402,GDP per hour worked
2015,Euro Area,100.0,GDP per hour worked
2016,Euro Area,100.267705,GDP per hour worked
2017,Euro Area,101.787139,GDP per hour worked
2018,Euro Area,101.884586,GDP per hour worked
2019,Euro Area,102.557733,GDP per hour worked
2020,Euro Area,104.828581,GDP per hour worked
2021,Euro Area,104.752417,GDP per hour worked
2022,Euro Area,104.683309,GDP per hour worked
1999,European Union,81.726364,GDP per hour worked
2000,European Union,84.367409,GDP per hour worked
2001,European Union,86.108362,GDP per hour worked
2002,European Union,87.790347,GDP per hour worked
2003,European Union,88.616288,GDP per hour worked
2004,European Union,90.050482,GDP per hour worked
2005,European Union,91.067559,GDP per hour worked
2006,European Union,92.583422,GDP per hour worked
2007,European Union,93.462986,GDP per hour worked
2008,European Union,93.230589,GDP per hour worked
2009,European Union,92.155673,GDP per hour worked
2010,European Union,94.828897,GDP per hour worked
2011,European Union,96.569183,GDP per hour worked
2012,European Union,97.09895,GDP per hour worked
2013,European Union,97.940434,GDP per hour worked
2014,European Union,98.624733,GDP per hour worked
2015,European Union,100.0,GDP per hour worked
2016,European Union,100.402127,GDP per hour worked
2017,European Union,102.175775,GDP per hour worked
2018,European Union,102.94206,GDP per hour worked
2019,European Union,104.00043,GDP per hour worked
2020,European Union,105.355454,GDP per hour worked
2021,European Union,105.787996,GDP per hour worked
