STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),s_adj,Seasonal adjustment,na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,Q,Quarterly,THS_HW,Thousand hours worked,TOTAL,Total - all NACE activities,SCA,Seasonally and calendar adjusted data,EMP_DC,Total employment domestic concept,AT,Austria,2023-Q1,,1822107,,,,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,Q,Quarterly,THS_HW,Thousand hours worked,TOTAL,Total - all NACE activities,SCA,Seasonally and calendar adjusted data,EMP_DC,Total employment domestic concept,AT,Austria,2023-Q2,,1815755,,,,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,Q,Quarterly,THS_HW,Thousand hours worked,TOTAL,Total - all NACE activities,SCA,Seasonally and calendar adjusted data,EMP_DC,Total employment domestic concept,AT,Austria,2023-Q3,,1829140,,,,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,Q,Quarterly,THS_HW,Thousand hours worked,TOTAL,Total - all NACE activities,SCA,Seasonally and calendar adjusted data,EMP_DC,Total employment domestic concept,AT,Austria,2023-Q4,,1795824,,,,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,Q,Quarterly,THS_HW,Thousand hours worked,TOTAL,Total - all NACE activities,SCA,Seasonally and calendar adjusted data,EMP_DC,Total employment domestic concept,AT,Austria,2024-Q1,,1811455,,,,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,Q,Quarterly,THS_HW,Thousand hours worked,TOTAL,Total - all NACE activities,SCA,Seasonally and calendar adjusted data,EMP_DC,Total employment domestic concept,AT,Austria,2024-Q2,,1815132,,,,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,Q,Quarterly,THS_HW,Thousand hours worked,TOTAL,Total - all NACE activities,SCA,Seasonally and calendar adjusted data,EMP_DC,Total employment domestic concept,AT,Austria,2024-Q3,,1789190,,,,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,Q,Quarterly,THS_HW,Thousand hours worked,TOTAL,Total - all NACE activities,SCA,Seasonally and calendar adjusted data,EMP_DC,Total employment domestic concept,AT,Austria,2024-Q4,,1839048,,,,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,Q,Quarterly,THS_HW,Thousand hours worked,TOTAL,Total - all NACE activities,SCA,Seasonally and calendar adjusted data,EMP_DC,Total employment domestic concept,AT,Austria,2025-Q1,,1825940,,,,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,Q,Quarterly,THS_HW,Thousand hours worked,TOTAL,Total - all NACE activities,SCA,Seasonally and calendar adjusted data,EMP_DC,Total employment domestic concept,AT,Austria,2025-Q2,,1816882,,,,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,Q,Quarterly,THS_HW,Thousand hours worked,TOTAL,Total - all NACE activities,SCA,Seasonally and calendar adjusted data,EMP_DC,Total employment domestic concept,AT,Austria,2025-Q3,,1821496,,,,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,Q,Quarterly,THS_HW,Thousand hours worked,TOTAL,Total - all NACE activities,SCA,Seasonally and calendar adjusted data,EMP_DC,Total employment domestic concept,AT,Austria,2025-Q4,,1833532,,,,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,Q,Quarterly,THS_HW,Thousand hours worked,TOTAL,Total - all NACE activities,SCA,Seasonally and calendar adjusted data,EMP_DC,Total employment domestic concept,BE,Belgium,2023-Q1,,2019575,,,,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,Q,Quarterly,THS_HW,Thousand hours worked,TOTAL,Total - all NACE activities,SCA,Seasonally and calendar adjusted data,EMP_DC,Total employment domestic concept,BE,Belgium,2023-Q2,,2024770,,,,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,Q,Quarterly,THS_HW,Thousand hours worked,TOTAL,Total - all NACE activities,SCA,Seasonally and calendar adjusted data,EMP_DC,Total employment domestic concept,BE,Belgium,2023-Q3,,2030932,,,,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,Q,Quarterly,THS_HW,Thousand hours worked,TOTAL,Total - all NACE activities,SCA,Seasonally and calendar adjusted data,EMP_DC,Total employment domestic concept,BE,Belgium,2023-Q4,,2026248,,,,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,Q,Quarterly,THS_HW,Thousand hours worked,TOTAL,Total - all NACE activities,SCA,Seasonally and calendar adjusted data,EMP_DC,Total employment domestic concept,BE,Belgium,2024-Q1,,2021767,,p,provisional,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,Q,Quarterly,THS_HW,Thousand hours worked,TOTAL,Total - all NACE activities,SCA,Seasonally and calendar adjusted data,EMP_DC,Total employment domestic concept,BE,Belgium,2024-Q2,,2021334,,p,provisional,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,Q,Quarterly,THS_HW,Thousand hours worked,TOTAL,Total - all NACE activities,SCA,Seasonally and calendar adjusted data,EMP_DC,Total employment domestic concept,BE,Belgium,2024-Q3,,2018025,,p,provisional,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,Q,Quarterly,THS_HW,Thousand hours worked,TOTAL,Total - all NACE activities,SCA,Seasonally and calendar adjusted data,EMP_DC,Total employment domestic concept,BE,Belgium,2024-Q4,,2019602,,p,provisional,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,Q,Quarterly,THS_HW,Thousand hours worked,TOTAL,Total - all NACE activities,SCA,Seasonally and calendar adjusted data,EMP_DC,Total employment domestic concept,BE,Belgium,2025-Q1,,2029556,,p,provisional,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,Q,Quarterly,THS_HW,Thousand hours worked,TOTAL,Total - all NACE activities,SCA,Seasonally and calendar adjusted data,EMP_DC,Total employment domestic concept,BE,Belgium,2025-Q2,,2030178,,p,provisional,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,Q,Quarterly,THS_HW,Thousand hours worked,TOTAL,Total - all NACE activities,SCA,Seasonally and calendar adjusted data,EMP_DC,Total employment domestic concept,BE,Belgium,2025-Q3,,2034730,,p,provisional,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,Q,Quarterly,THS_HW,Thousand hours worked,TOTAL,Total - all NACE activities,SCA,Seasonally and calendar adjusted data,EMP_DC,Total employment domestic concept,CY,Cyprus,2023-Q1,,225205,,,,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,Q,Quarterly,THS_HW,Thousand hours worked,TOTAL,Total - all NACE activities,SCA,Seasonally and calendar adjusted data,EMP_DC,Total employment domestic concept,CY,Cyprus,2023-Q2,,227187,,,,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,Q,Quarterly,THS_HW,Thousand hours worked,TOTAL,Total - all NACE activities,SCA,Seasonally and calendar adjusted data,EMP_DC,Total employment domestic concept,CY,Cyprus,2023-Q3,,228329,,,,,
dataflow,ESTAT:NAMQ_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,Q,Quarterly,THS_HW,Thousand hours worked,TOTAL,Total - all NACE activities,SCA,Seasonally and calendar adjusted data,EMP_DC,Total employment domestic concept,CY,Cyprus,2023-Q4,,230654,,,,,
