"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02937V03552","Sector","UNIT","VALUE"
"NAQ06C01","GVA at Current Basic Prices","19951","1995Q1","-","All sectors","Euro Million","11982"
"NAQ06C01","GVA at Current Basic Prices","19951","1995Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","2253"
"NAQ06C01","GVA at Current Basic Prices","19951","1995Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","9729"
"NAQ06C01","GVA at Current Basic Prices","19952","1995Q2","-","All sectors","Euro Million","12727"
"NAQ06C01","GVA at Current Basic Prices","19952","1995Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","2332"
"NAQ06C01","GVA at Current Basic Prices","19952","1995Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","10396"
"NAQ06C01","GVA at Current Basic Prices","19953","1995Q3","-","All sectors","Euro Million","12305"
"NAQ06C01","GVA at Current Basic Prices","19953","1995Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","2225"
"NAQ06C01","GVA at Current Basic Prices","19953","1995Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","10080"
"NAQ06C01","GVA at Current Basic Prices","19954","1995Q4","-","All sectors","Euro Million","12437"
"NAQ06C01","GVA at Current Basic Prices","19954","1995Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","2456"
"NAQ06C01","GVA at Current Basic Prices","19954","1995Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","9981"
"NAQ06C01","GVA at Current Basic Prices","19961","1996Q1","-","All sectors","Euro Million","13135"
"NAQ06C01","GVA at Current Basic Prices","19961","1996Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","2591"
"NAQ06C01","GVA at Current Basic Prices","19961","1996Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","10544"
"NAQ06C01","GVA at Current Basic Prices","19962","1996Q2","-","All sectors","Euro Million","13709"
"NAQ06C01","GVA at Current Basic Prices","19962","1996Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","2573"
"NAQ06C01","GVA at Current Basic Prices","19962","1996Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","11137"
"NAQ06C01","GVA at Current Basic Prices","19963","1996Q3","-","All sectors","Euro Million","13113"
"NAQ06C01","GVA at Current Basic Prices","19963","1996Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","2199"
"NAQ06C01","GVA at Current Basic Prices","19963","1996Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","10914"
"NAQ06C01","GVA at Current Basic Prices","19964","1996Q4","-","All sectors","Euro Million","13559"
"NAQ06C01","GVA at Current Basic Prices","19964","1996Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","2717"
"NAQ06C01","GVA at Current Basic Prices","19964","1996Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","10842"
"NAQ06C01","GVA at Current Basic Prices","19971","1997Q1","-","All sectors","Euro Million","14810"
"NAQ06C01","GVA at Current Basic Prices","19971","1997Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","3140"
"NAQ06C01","GVA at Current Basic Prices","19971","1997Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","11670"
"NAQ06C01","GVA at Current Basic Prices","19972","1997Q2","-","All sectors","Euro Million","15679"
"NAQ06C01","GVA at Current Basic Prices","19972","1997Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","3289"
"NAQ06C01","GVA at Current Basic Prices","19972","1997Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","12389"
"NAQ06C01","GVA at Current Basic Prices","19973","1997Q3","-","All sectors","Euro Million","15599"
"NAQ06C01","GVA at Current Basic Prices","19973","1997Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","3349"
"NAQ06C01","GVA at Current Basic Prices","19973","1997Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","12250"
"NAQ06C01","GVA at Current Basic Prices","19974","1997Q4","-","All sectors","Euro Million","15758"
"NAQ06C01","GVA at Current Basic Prices","19974","1997Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","3521"
"NAQ06C01","GVA at Current Basic Prices","19974","1997Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","12236"
"NAQ06C01","GVA at Current Basic Prices","19981","1998Q1","-","All sectors","Euro Million","17879"
"NAQ06C01","GVA at Current Basic Prices","19981","1998Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","4325"
"NAQ06C01","GVA at Current Basic Prices","19981","1998Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","13554"
"NAQ06C01","GVA at Current Basic Prices","19982","1998Q2","-","All sectors","Euro Million","18275"
"NAQ06C01","GVA at Current Basic Prices","19982","1998Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","4193"
"NAQ06C01","GVA at Current Basic Prices","19982","1998Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","14081"
"NAQ06C01","GVA at Current Basic Prices","19983","1998Q3","-","All sectors","Euro Million","18372"
"NAQ06C01","GVA at Current Basic Prices","19983","1998Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","4294"
"NAQ06C01","GVA at Current Basic Prices","19983","1998Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","14078"
"NAQ06C01","GVA at Current Basic Prices","19984","1998Q4","-","All sectors","Euro Million","18229"
"NAQ06C01","GVA at Current Basic Prices","19984","1998Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","4133"
"NAQ06C01","GVA at Current Basic Prices","19984","1998Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","14096"
"NAQ06C01","GVA at Current Basic Prices","19991","1999Q1","-","All sectors","Euro Million","19904"
"NAQ06C01","GVA at Current Basic Prices","19991","1999Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","5124"
"NAQ06C01","GVA at Current Basic Prices","19991","1999Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","14780"
"NAQ06C01","GVA at Current Basic Prices","19992","1999Q2","-","All sectors","Euro Million","20528"
"NAQ06C01","GVA at Current Basic Prices","19992","1999Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","4931"
"NAQ06C01","GVA at Current Basic Prices","19992","1999Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","15598"
"NAQ06C01","GVA at Current Basic Prices","19993","1999Q3","-","All sectors","Euro Million","20615"
"NAQ06C01","GVA at Current Basic Prices","19993","1999Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","4920"
"NAQ06C01","GVA at Current Basic Prices","19993","1999Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","15695"
"NAQ06C01","GVA at Current Basic Prices","19994","1999Q4","-","All sectors","Euro Million","21624"
"NAQ06C01","GVA at Current Basic Prices","19994","1999Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","5789"
"NAQ06C01","GVA at Current Basic Prices","19994","1999Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","15835"
"NAQ06C01","GVA at Current Basic Prices","20001","2000Q1","-","All sectors","Euro Million","22791"
"NAQ06C01","GVA at Current Basic Prices","20001","2000Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","5365"
"NAQ06C01","GVA at Current Basic Prices","20001","2000Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","17426"
"NAQ06C01","GVA at Current Basic Prices","20002","2000Q2","-","All sectors","Euro Million","24285"
"NAQ06C01","GVA at Current Basic Prices","20002","2000Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","5867"
"NAQ06C01","GVA at Current Basic Prices","20002","2000Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","18418"
"NAQ06C01","GVA at Current Basic Prices","20003","2000Q3","-","All sectors","Euro Million","24090"
"NAQ06C01","GVA at Current Basic Prices","20003","2000Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","5606"
"NAQ06C01","GVA at Current Basic Prices","20003","2000Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","18484"
"NAQ06C01","GVA at Current Basic Prices","20004","2000Q4","-","All sectors","Euro Million","25556"
"NAQ06C01","GVA at Current Basic Prices","20004","2000Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","7030"
"NAQ06C01","GVA at Current Basic Prices","20004","2000Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","18526"
"NAQ06C01","GVA at Current Basic Prices","20011","2001Q1","-","All sectors","Euro Million","26869"
"NAQ06C01","GVA at Current Basic Prices","20011","2001Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","7679"
"NAQ06C01","GVA at Current Basic Prices","20011","2001Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","19190"
"NAQ06C01","GVA at Current Basic Prices","20012","2001Q2","-","All sectors","Euro Million","27690"
"NAQ06C01","GVA at Current Basic Prices","20012","2001Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","7113"
"NAQ06C01","GVA at Current Basic Prices","20012","2001Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","20577"
"NAQ06C01","GVA at Current Basic Prices","20013","2001Q3","-","All sectors","Euro Million","26467"
"NAQ06C01","GVA at Current Basic Prices","20013","2001Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","6198"
"NAQ06C01","GVA at Current Basic Prices","20013","2001Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","20269"
"NAQ06C01","GVA at Current Basic Prices","20014","2001Q4","-","All sectors","Euro Million","27788"
"NAQ06C01","GVA at Current Basic Prices","20014","2001Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","7279"
"NAQ06C01","GVA at Current Basic Prices","20014","2001Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","20509"
"NAQ06C01","GVA at Current Basic Prices","20021","2002Q1","-","All sectors","Euro Million","28908"
"NAQ06C01","GVA at Current Basic Prices","20021","2002Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","7947"
"NAQ06C01","GVA at Current Basic Prices","20021","2002Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","20962"
"NAQ06C01","GVA at Current Basic Prices","20022","2002Q2","-","All sectors","Euro Million","30918"
"NAQ06C01","GVA at Current Basic Prices","20022","2002Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","8778"
"NAQ06C01","GVA at Current Basic Prices","20022","2002Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","22141"
"NAQ06C01","GVA at Current Basic Prices","20023","2002Q3","-","All sectors","Euro Million","29735"
"NAQ06C01","GVA at Current Basic Prices","20023","2002Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","7752"
"NAQ06C01","GVA at Current Basic Prices","20023","2002Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","21983"
"NAQ06C01","GVA at Current Basic Prices","20024","2002Q4","-","All sectors","Euro Million","31043"
"NAQ06C01","GVA at Current Basic Prices","20024","2002Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","8545"
"NAQ06C01","GVA at Current Basic Prices","20024","2002Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","22498"
"NAQ06C01","GVA at Current Basic Prices","20031","2003Q1","-","All sectors","Euro Million","30952"
"NAQ06C01","GVA at Current Basic Prices","20031","2003Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","7357"
"NAQ06C01","GVA at Current Basic Prices","20031","2003Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","23595"
"NAQ06C01","GVA at Current Basic Prices","20032","2003Q2","-","All sectors","Euro Million","32738"
"NAQ06C01","GVA at Current Basic Prices","20032","2003Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","7984"
"NAQ06C01","GVA at Current Basic Prices","20032","2003Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","24754"
"NAQ06C01","GVA at Current Basic Prices","20033","2003Q3","-","All sectors","Euro Million","31350"
"NAQ06C01","GVA at Current Basic Prices","20033","2003Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","6274"
"NAQ06C01","GVA at Current Basic Prices","20033","2003Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","25076"
"NAQ06C01","GVA at Current Basic Prices","20034","2003Q4","-","All sectors","Euro Million","33948"
"NAQ06C01","GVA at Current Basic Prices","20034","2003Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","8530"
"NAQ06C01","GVA at Current Basic Prices","20034","2003Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","25417"
"NAQ06C01","GVA at Current Basic Prices","20041","2004Q1","-","All sectors","Euro Million","33778"
"NAQ06C01","GVA at Current Basic Prices","20041","2004Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","7667"
"NAQ06C01","GVA at Current Basic Prices","20041","2004Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","26111"
"NAQ06C01","GVA at Current Basic Prices","20042","2004Q2","-","All sectors","Euro Million","35276"
"NAQ06C01","GVA at Current Basic Prices","20042","2004Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","8051"
"NAQ06C01","GVA at Current Basic Prices","20042","2004Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","27224"
"NAQ06C01","GVA at Current Basic Prices","20043","2004Q3","-","All sectors","Euro Million","33109"
"NAQ06C01","GVA at Current Basic Prices","20043","2004Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","6479"
"NAQ06C01","GVA at Current Basic Prices","20043","2004Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","26631"
"NAQ06C01","GVA at Current Basic Prices","20044","2004Q4","-","All sectors","Euro Million","35266"
"NAQ06C01","GVA at Current Basic Prices","20044","2004Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","8008"
"NAQ06C01","GVA at Current Basic Prices","20044","2004Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","27258"
"NAQ06C01","GVA at Current Basic Prices","20051","2005Q1","-","All sectors","Euro Million","36517"
"NAQ06C01","GVA at Current Basic Prices","20051","2005Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","8048"
"NAQ06C01","GVA at Current Basic Prices","20051","2005Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","28469"
"NAQ06C01","GVA at Current Basic Prices","20052","2005Q2","-","All sectors","Euro Million","38074"
"NAQ06C01","GVA at Current Basic Prices","20052","2005Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","8010"
"NAQ06C01","GVA at Current Basic Prices","20052","2005Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","30064"
"NAQ06C01","GVA at Current Basic Prices","20053","2005Q3","-","All sectors","Euro Million","36432"
"NAQ06C01","GVA at Current Basic Prices","20053","2005Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","6741"
"NAQ06C01","GVA at Current Basic Prices","20053","2005Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","29691"
"NAQ06C01","GVA at Current Basic Prices","20054","2005Q4","-","All sectors","Euro Million","38500"
"NAQ06C01","GVA at Current Basic Prices","20054","2005Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","7966"
"NAQ06C01","GVA at Current Basic Prices","20054","2005Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","30534"
"NAQ06C01","GVA at Current Basic Prices","20061","2006Q1","-","All sectors","Euro Million","39733"
"NAQ06C01","GVA at Current Basic Prices","20061","2006Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","7453"
"NAQ06C01","GVA at Current Basic Prices","20061","2006Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","32279"
"NAQ06C01","GVA at Current Basic Prices","20062","2006Q2","-","All sectors","Euro Million","41429"
"NAQ06C01","GVA at Current Basic Prices","20062","2006Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","8500"
"NAQ06C01","GVA at Current Basic Prices","20062","2006Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","32929"
"NAQ06C01","GVA at Current Basic Prices","20063","2006Q3","-","All sectors","Euro Million","39616"
"NAQ06C01","GVA at Current Basic Prices","20063","2006Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","7358"
"NAQ06C01","GVA at Current Basic Prices","20063","2006Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","32258"
"NAQ06C01","GVA at Current Basic Prices","20064","2006Q4","-","All sectors","Euro Million","41800"
"NAQ06C01","GVA at Current Basic Prices","20064","2006Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","7578"
"NAQ06C01","GVA at Current Basic Prices","20064","2006Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","34222"
"NAQ06C01","GVA at Current Basic Prices","20071","2007Q1","-","All sectors","Euro Million","43362"
"NAQ06C01","GVA at Current Basic Prices","20071","2007Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","8892"
"NAQ06C01","GVA at Current Basic Prices","20071","2007Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","34470"
"NAQ06C01","GVA at Current Basic Prices","20072","2007Q2","-","All sectors","Euro Million","44364"
"NAQ06C01","GVA at Current Basic Prices","20072","2007Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","8254"
"NAQ06C01","GVA at Current Basic Prices","20072","2007Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","36110"
"NAQ06C01","GVA at Current Basic Prices","20073","2007Q3","-","All sectors","Euro Million","42894"
"NAQ06C01","GVA at Current Basic Prices","20073","2007Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","7208"
"NAQ06C01","GVA at Current Basic Prices","20073","2007Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","35686"
"NAQ06C01","GVA at Current Basic Prices","20074","2007Q4","-","All sectors","Euro Million","44445"
"NAQ06C01","GVA at Current Basic Prices","20074","2007Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","8400"
"NAQ06C01","GVA at Current Basic Prices","20074","2007Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","36046"
"NAQ06C01","GVA at Current Basic Prices","20081","2008Q1","-","All sectors","Euro Million","42639"
"NAQ06C01","GVA at Current Basic Prices","20081","2008Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","8710"
"NAQ06C01","GVA at Current Basic Prices","20081","2008Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","33929"
"NAQ06C01","GVA at Current Basic Prices","20082","2008Q2","-","All sectors","Euro Million","43189"
"NAQ06C01","GVA at Current Basic Prices","20082","2008Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","8899"
"NAQ06C01","GVA at Current Basic Prices","20082","2008Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","34290"
"NAQ06C01","GVA at Current Basic Prices","20083","2008Q3","-","All sectors","Euro Million","41480"
"NAQ06C01","GVA at Current Basic Prices","20083","2008Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","8276"
"NAQ06C01","GVA at Current Basic Prices","20083","2008Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","33204"
"NAQ06C01","GVA at Current Basic Prices","20084","2008Q4","-","All sectors","Euro Million","40028"
"NAQ06C01","GVA at Current Basic Prices","20084","2008Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","7051"
